회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등당첨총금액,1등당첨금액,1등당첨자수,2등당첨총금액,2등당첨금액,2등당첨자수,3등당첨총금액,3등당첨금액,3등당첨자수,4등당첨총금액,4등당첨금액,4등당첨자수,5등당첨총금액,5등당첨금액,5등당첨자수
14,2,6,12,31,33,40,15,37500193200,9375048300,4,3650175200,130363400,28,3650122700,2568700,1421,7299410400,93900,77736,13417560000,10000,1341756
15,3,4,16,30,31,37,13,17014245000,17014245000,1,2835707200,177231700,16,2835689900,5571100,509,5668609200,144600,39202,8275380000,10000,827538
16,6,7,24,37,38,40,33,17508584400,4377146100,4,2918096400,243174700,12,2918042400,3385200,862,5835992500,123500,47255,8707700000,10000,870770
17,3,4,9,17,32,37,1,16048473600,5349491200,3,2674745100,297193900,9,2674678200,2342100,1142,5345141700,86700,61651,9611620000,10000,961162
18,3,12,13,19,32,35,29,0,0,0,2625259500,175017300,15,2625256800,3953700,664,5248834500,136500,38453,6933230000,10000,693323
19,6,30,38,39,40,43,26,40722959400,40722959400,1,4161899000,297278500,14,4161856700,5971100,697,8322738600,150900,55154,11359910000,10000,1135991
20,10,14,18,20,23,30,41,19352212800,19352212800,1,3225367600,230383400,14,3225304800,3632100,888,6448356200,133900,48158,8274700000,10000,827470
21,6,12,17,18,31,32,21,18341934200,797475400,23,3056989000,117576500,26,3056979200,1522400,2008,6108505600,73600,82996,11553680000,10000,1155368
22,4,5,6,8,17,39,25,18208779600,4552194900,4,3034793600,94837300,32,3034759200,3669600,827,6064947200,113900,53248,9379610000,10000,937961
23,5,13,17,18,33,42,44,17271790800,4317947700,4,2878631700,125157900,23,2878593200,2098100,1372,5753645100,90300,63717,9900810000,10000,990081
24,7,8,27,29,36,43,6,0,0,0,3168426600,176023700,18,3168402500,3425300,925,6333240000,120000,52777,7559050000,10000,755905
25,2,4,21,26,43,44,16,48455490600,24227745300,2,4907487200,175267400,28,4907398100,4417100,1111,9813239800,166600,58903,10962000000,10000,1096200
26,4,5,7,18,20,25,31,17475349500,3495069900,5,2912555100,74680900,39,2912490000,2173500,1340,5823511200,80600,72252,10970930000,10000,1097093
27,1,20,26,28,37,43,27,19087965000,9543982500,2,3181326400,198832900,16,3181315500,5494500,579,6360008200,189800,33509,6259250000,10000,625925
28,9,18,23,25,35,37,1,17003611000,1700361100,10,2833934400,128815200,22,2833874400,2434600,1164,5665473000,97900,57870,9384830000,10000,938483
29,1,5,13,34,39,40,11,17762970000,3552594000,5,2960493900,174146700,17,2960473600,3936800,752,5920110600,139800,42347,7656610000,10000,765661
30,8,17,20,35,36,44,4,17457111000,8728555500,2,2909517600,132250800,22,2909515200,3336600,872,5818862500,137500,42319,7104660000,10000,710466
31,7,9,18,23,28,35,32,16213345800,8106672900,2,2702222900,93180100,29,2702169000,2391300,1130,5402555000,92500,58406,8636410000,10000,863641
32,6,14,19,25,34,44,11,16345283000,1634528300,10,2724213800,55596200,49,2724193500,2264500,1203,5444323200,103300,52704,8347460000,10000,834746
33,4,7,32,33,40,41,9,14903517600,14903517600,1,2483919400,60583400,41,2483912100,2336700,1063,4963918400,95200,52142,8889430000,10000,888943
34,9,26,35,37,40,42,2,15284590000,3056918000,5,2547427500,56609500,45,2547339200,2015300,1264,5090961700,74300,68519,9220630000,10000,922063
35,2,3,11,26,37,43,39,15163794600,5054598200,3,2527298400,105304100,24,2527217100,2708700,933,5052154800,107800,46866,7798540000,10000,779854
36,1,10,23,26,28,40,31,16014475800,16014475800,1,2669078200,140477800,19,2669030400,3475300,768,5338115300,139300,38321,6737550000,10000,673755
37,7,27,30,33,35,37,42,14957998200,4985999400,3,2492998000,124649900,20,2492927300,2908900,857,4985538400,107600,46334,7824900000,10000,782490
38,16,17,22,30,37,43,36,16124599200,5374866400,3,2687432400,149301800,18,2687414100,3957900,679,5372882900,147700,36377,6810310000,10000,681031
39,6,7,13,15,21,43,8,15742492800,2623748800,6,2623747500,104949900,25,2623696500,3753500,699,5247020800,135400,38752,6809750000,10000,680975
40,7,13,18,19,25,26,6,14919481200,1147652400,13,2486576400,56513100,44,2486529500,2356900,1055,4972188400,76400,65081,7983740000,10000,798374
41,13,20,23,35,38,43,34,0,0,0,2297484000,109404000,21,2297470000,3282100,700,4594099500,135900,33805,5837440000,10000,583744
42,17,18,19,21,23,32,1,41395680600,6899280100,6,4601793000,131479800,35,4601656000,3275200,1405,9203125100,115700,79543,13936910000,10000,1393691
43,6,31,35,38,39,44,1,17749630800,17749630800,1,2958270000,140870000,21,2958199600,3194600,926,5914233600,131200,45078,7760430000,10000,776043
44,3,11,21,30,38,45,39,16810779000,3362155800,5,2801795600,121817200,23,2801743500,3569100,785,5600852400,139700,40092,6960510000,10000,696051
45,1,10,20,27,33,35,17,16712835600,8356417800,2,2785471200,103165600,27,2785433000,3129700,890,5570075000,122500,45470,7753390000,10000,775339
46,8,13,15,23,31,38,39,15983276400,5327758800,3,2663879400,68304600,39,2663822000,2554000,1043,5325101100,117700,45243,7451990000,10000,745199
47,14,17,26,31,36,45,27,16250212000,3250042400,5,2708368300,246215300,11,2708345200,3002600,902,5413372000,133400,40580,6794660000,10000,679466
48,6,10,18,26,37,38,3,14494041600,2415673600,6,2415672500,96626900,25,2415647300,1888700,1279,4829510400,83200,58047,8746680000,10000,874668
49,4,7,16,19,33,40,30,13772532200,1967504600,7,2295419700,46845300,49,2295333200,1543600,1487,4585119000,69000,66451,9296350000,10000,929635
50,2,10,12,15,22,44,1,15681184200,5227061400,3,2613529800,186680700,14,2613464000,3164000,826,5226391200,129700,40296,6646310000,10000,664631
51,2,3,11,16,26,44,35,14526702000,2421117000,6,2421114800,93119800,26,2421047300,2519300,961,4840371300,105900,45707,7065670000,10000,706567
52,2,4,15,16,20,29,1,15603379600,3900844900,4,2600562900,200043300,13,2600536800,3887200,669,5199750000,150000,34665,6191090000,10000,619109
53,7,8,14,32,33,39,42,15043113000,5014371000,3,2507185000,100287400,25,2507132200,3126100,802,5013606000,110500,45372,7426150000,10000,742615
54,1,8,21,27,36,39,37,15445879800,5148626600,3,2574312000,171620800,15,2574307600,3580400,719,5147935800,147700,34854,6173370000,10000,617337
55,17,21,31,37,40,44,7,14177599200,7088799600,2,2362932000,98455500,24,2362869600,3245700,728,4723050000,111000,42550,7468550000,10000,746855
56,10,14,30,31,33,37,19,15110283600,3777570900,4,2518380300,86840700,29,2518362900,1853100,1359,5033378800,122300,41156,7445660000,10000,744566
57,7,10,16,25,29,44,6,16457647600,4114411900,4,2742940000,109717600,25,2742912000,2857200,960,5484225000,124500,44050,7636920000,10000,763692
58,10,24,25,33,40,44,1,14705716800,3676429200,4,2450951100,62844900,39,2450952800,1859600,1318,4901703000,84200,58215,8809540000,10000,880954
59,6,29,36,39,41,45,13,16510349200,4127587300,4,2751724600,119640200,23,2751711900,4226900,651,5502584600,157100,35026,6264600000,10000,626460
60,2,8,25,36,39,42,11,15207532200,2172504600,7,2534587200,93873600,27,2534496000,2329500,1088,5064889600,110800,45712,7357080000,10000,735708
61,14,15,19,30,38,43,8,17705194000,3541038800,5,2950865500,268260500,11,2950860000,3740000,789,5899583700,143100,41227,7147840000,10000,714784
62,3,8,15,27,29,35,21,15817286400,15817286400,1,2636213800,119827900,22,2636137100,3179900,829,5269110400,126400,41686,7008040000,10000,700804
63,3,20,23,36,38,40,5,15844491000,7922245500,2,2640747200,101567200,26,2640672800,3204700,824,5279436000,127200,41505,7129540000,10000,712954
64,14,15,18,21,26,36,39,15599272000,3899818000,4,2599878600,236352600,11,2599833600,3993600,651,5196380000,140000,37117,6543790000,10000,654379
65,4,25,33,36,40,43,39,14911783200,3727945800,4,2485296000,92048000,27,2485233400,2477800,1003,4966542000,94500,52556,8489600000,10000,848960
66,2,3,7,17,22,24,45,14740552800,3685138200,4,2456757000,129303000,19,2456721600,3125600,786,4910973600,122200,40188,7121810000,10000,712181
67,3,7,10,15,36,38,33,14801055500,2114436500,7,2466837400,39787700,62,2466838800,2537900,972,4931070000,105500,46740,7489010000,10000,748901
68,10,12,15,16,26,39,38,14729410500,2945882100,5,2454900000,122745000,20,2454873200,3255800,754,4906251000,113400,43265,7357600000,10000,735760
69,5,8,14,15,19,39,35,14888136600,4962712200,3,2481356000,124067800,20,2481303800,3239300,766,4958766000,120300,41220,7042090000,10000,704209
70,5,19,22,25,28,43,26,15093833400,5031277800,3,2515637600,179688400,14,2515594500,3508500,717,5027962700,136700,36781,6459900000,10000,645990
71,5,9,12,16,29,41,21,0,0,0,2484865600,88745200,28,2484805000,3177500,782,4967161200,125700,39516,6596310000,10000,659631
72,2,4,11,17,26,27,1,42386819800,3260524600,13,4579599200,104081800,44,4579495000,1824500,2510,9153718200,80300,113994,17029590000,10000,1702959
73,3,12,18,32,40,43,38,16599972600,2766662100,6,2766660000,106410000,26,2766617400,2029800,1363,5532996000,99500,55608,8651310000,10000,865131
74,6,15,17,18,35,40,23,15854849400,5284949800,3,2642472000,66061800,40,2642450100,2588100,1021,5284585800,109100,48438,8026330000,10000,802633
75,2,5,24,32,34,44,28,15658467600,3914616900,4,2609743100,137354900,19,2609743100,3194300,817,5216017800,127900,40782,6971740000,10000,697174
76,1,3,15,22,25,37,43,14902045200,7451022600,2,2483672800,146098400,17,2483628000,2956700,840,4966646400,111600,44504,7705220000,10000,770522
77,2,18,29,32,43,44,37,15467275800,5155758600,3,2577878200,135677800,19,2577851500,3615500,713,5154993600,139200,37033,6431540000,10000,643154
78,10,13,25,29,33,35,38,14079400000,3519850000,4,2346566200,106662100,22,2346526000,2578600,910,4690725000,110500,42450,7163230000,10000,716323
79,3,12,24,27,30,32,14,13665775200,3416443800,4,2277629210,73471910,31,2277630108,1904373,1196,4555264374,92154,49431,7418710000,10000,741871
80,17,18,24,25,26,30,1,13809540000,13809540000,1,2301590000,143849375,16,2301590536,2651602,868,4603184862,114362,40251,7064320000,10000,706432
81,5,7,11,13,20,33,6,13571444400,2714288880,5,2261907400,113095370,20,2261908056,2162436,1046,4523857320,87580,51654,7872580000,10000,787258
82,1,2,3,14,27,42,39,14562494400,14562494400,1,2427082400,121354120,20,2427082749,3810177,637,4854190480,134320,36139,6380580000,10000,638058
83,6,10,15,17,19,34,14,14173896600,7086948300,2,2362316100,157487740,15,2362316430,2775930,851,4724661120,102880,45924,7632870000,10000,763287
84,16,23,27,34,42,45,11,15339558000,7669779000,2,2556593008,150387824,17,2556593185,4026131,635,5113197610,157805,32402,5824450000,10000,582445
85,6,8,13,23,31,36,21,13848439200,3462109800,4,2308073225,74453975,31,2308073872,2804464,823,4616147442,110577,41746,6644920000,10000,664492
86,2,12,37,39,41,45,33,14252186400,14252186400,1,2375364400,148460275,16,2375364537,3887667,611,4750749355,135515,35057,6164340000,10000,616434
87,4,12,16,23,34,43,26,19792938605,1799358055,11,3298823121,99964337,33,3298823750,2639059,1250,6597681888,120466,54768,8908590000,10000,890859
88,1,17,20,24,30,41,27,12278838600,3069709650,4,2046473122,66015262,31,2046474066,1729902,1183,4093006119,63321,64639,5490575000,5000,1098115
89,4,26,28,29,33,40,37,12744965700,4248321900,3,2124160950,70805365,30,2124161300,1585195,1340,4248330821,58463,72667,6309480000,5000,1261896
90,17,20,29,35,38,44,10,13165741200,3291435300,4,2194290232,64537948,34,2194290540,1691820,1297,4388619760,64645,67888,5803870000,5000,1160774
91,1,21,24,26,29,42,27,14331609600,3582902400,4,2388601600,74643800,32,2388601610,1982242,1205,4777204873,74431,64183,5644510000,5000,1128902
92,3,14,24,33,35,36,17,13565979306,1233270846,11,2260996550,45219931,50,2260998054,1393098,1623,4522055509,57011,79319,6538035000,5000,1307607
93,6,22,24,36,38,44,19,13615068900,2269178150,6,2269178158,87276083,26,2269178972,1552106,1462,4538377520,66160,68597,5926375000,5000,1185275
94,5,32,34,40,41,45,6,13472039700,2245339950,6,2245339972,59087894,38,2245340031,1659527,1353,4490699430,63155,71106,6118965000,5000,1223793
95,8,17,27,31,34,43,14,13981929904,1747741238,8,2330321664,48548368,48,2330322048,1348566,1728,4660705280,56540,82432,6735530000,5000,1347106
96,1,3,8,21,22,31,20,12929934605,1847133515,7,2154989120,56710240,38,2154990222,1800326,1197,4309996602,66002,65301,5558895000,5000,1111779
97,6,7,14,15,20,36,3,13465926000,1496214000,9,2244321002,48789587,46,2244321274,1454518,1543,4488664921,58123,77227,6413390000,5000,1282678
98,6,9,16,23,24,32,43,12711889200,3177972300,4,2118648240,47081072,45,2118649080,1126941,1880,4237306318,48251,87818,6929060000,5000,1385812
99,1,3,10,27,29,37,11,13015314300,2169219050,6,2169219080,54230477,40,2169220536,1372056,1581,4338499788,56196,77203,6411555000,5000,1282311
100,1,7,11,23,37,42,6,13261262100,3315315525,4,2210210352,61394732,36,2210211296,1431484,1544,4420462116,57484,76899,6178885000,5000,1235777
101,1,3,17,32,35,45,8,13536487500,2707297500,5,2256081280,59370560,38,2256081560,1605752,1405,4512225140,61634,73210,6231720000,5000,1246344
102,17,22,24,26,35,40,42,13114377603,1457153067,9,2185729608,91072067,24,2185729728,1616664,1352,4371494444,57919,75476,6611685000,5000,1322337
103,5,14,15,27,30,45,10,13532716504,1691589563,8,2255452760,59354020,38,2255453651,1424797,1583,4510956573,59679,75587,6155780000,5000,1231156
104,17,32,33,34,42,44,35,13221487500,6610743750,2,2203581263,95807881,23,2203582320,1704240,1293,4407192464,61361,71824,6231040000,5000,1246208
105,8,10,20,34,41,45,28,13667125800,3416781450,4,2277854306,87609781,26,2277854766,1711386,1331,4555745808,65904,69127,5961315000,5000,1192263
106,4,10,12,22,24,33,29,12967378512,810461157,16,2161229760,54030744,40,2161230192,1051182,2056,4322523955,46205,93551,7079945000,5000,1415989
107,1,4,5,6,9,31,17,13359855600,6679927800,2,2226642600,63618360,35,2226643968,1020928,2181,4453322090,48590,91651,6506175000,5000,1301235
108,7,18,22,23,29,44,12,13992305404,1998900772,7,2332050931,56879291,41,2332052282,1595111,1462,4664170431,65853,70827,6117105000,5000,1223421
109,1,5,34,36,42,44,33,14962058400,1246838200,12,2493676425,80441175,31,2493677278,1670246,1493,4987368387,68153,73179,6355285000,5000,1271057
110,7,20,22,23,29,43,1,13698786000,4566262000,3,2283131010,60082395,38,2283131952,1640181,1392,4566314520,61980,73674,5981435000,5000,1196287
111,7,18,31,33,36,40,27,13194284700,2199047450,6,2199047478,43118578,51,2199048396,1268194,1734,4398134279,50633,86863,6948025000,5000,1389605
112,26,29,30,33,41,42,43,14105440503,1567271167,9,2350906752,73465836,32,2350907670,1715991,1370,4701842451,66933,70247,6136935000,5000,1227387
113,4,9,28,33,36,45,26,14053760406,1561528934,9,2342293420,54471940,43,2342293779,1583701,1479,4684624308,64428,72711,6206190000,5000,1241238
114,11,14,19,26,28,41,2,14174070300,2362345050,6,2362345052,57618172,41,2362346364,1584404,1491,4724763240,60185,78504,6416250000,5000,1283250
115,1,2,6,9,25,28,31,13397306103,1488589567,9,2232884380,65673070,34,2232885470,1122053,1990,4465808353,48739,91627,7236435000,5000,1447287
116,2,4,25,31,34,37,17,13984231205,1997747315,7,2330705216,41619736,56,2330705310,1343346,1735,4661475325,50725,91897,7495990000,5000,1499198
117,5,10,22,34,36,44,35,14025405006,1558378334,9,2337567500,46751350,50,2337567620,1423610,1642,4675173982,59662,78361,6339130000,5000,1267826
118,3,4,10,17,19,22,38,12979897200,1297989720,10,2163316210,52763810,41,2163316704,1294624,1671,4326701039,51983,83233,6952805000,5000,1390561
119,3,11,13,14,17,21,38,13274094600,1474899400,9,2212349118,45149982,49,2212350448,1142743,1936,4424716912,51856,85327,6776825000,5000,1355365
120,4,6,10,11,32,37,30,13093590900,4364530300,3,2182265150,70395650,31,2182265535,1359667,1605,4364594400,54286,80400,6886840000,5000,1377368
121,12,28,30,34,38,43,9,13679296200,6839648100,2,2279882724,73544604,31,2279883540,1698870,1342,4559824296,67589,67464,5768445000,5000,1153689
122,1,11,16,17,36,40,8,13050664200,1450073800,9,2175110728,57239756,38,2175111587,1550329,1403,4350282302,59989,72518,6334745000,5000,1266949
123,7,17,18,28,30,45,27,12664913400,2532982680,5,2110818908,55547866,38,2110819102,1429126,1477,4221654712,58036,72742,5940535000,5000,1188107
124,4,16,23,25,29,42,1,12563426403,1395936267,9,2093904407,56592011,37,2093905660,1359679,1540,4187832320,55808,75040,6151375000,5000,1230275
125,2,8,32,33,35,36,18,12284095502,1754870786,7,2047349268,56870813,36,2047349408,1417832,1444,4094751540,55140,74261,6101360000,5000,1220272
126,7,20,22,27,40,43,1,12323713500,1369301500,9,2053952250,58684350,35,2053952333,1427347,1439,4107914460,57558,71370,5834960000,5000,1166992
127,3,5,10,29,32,43,35,11795634900,1965939150,6,1965939188,45719516,43,1965939389,1537091,1279,3931887100,58532,67175,5716910000,5000,1143382
128,12,30,34,36,37,45,39,12384258600,2064043100,6,2064043115,89741005,23,2064043360,1731580,1192,4128097974,65221,63294,5514765000,5000,1102953
129,19,23,25,28,38,42,17,12029926205,1093629655,11,2004987700,40099754,50,2004988680,1361160,1473,4010042244,56381,71124,5728000000,5000,1145600
130,7,19,24,27,42,45,31,12145986600,3036496650,4,2024331120,67477704,30,2024332238,1590206,1273,4048711464,63672,63587,5436195000,5000,1087239
131,8,10,11,14,15,21,37,11609715904,1451214488,8,1934952657,58634929,33,1934954280,1176264,1645,3869924196,52372,73893,5766360000,5000,1153272
132,3,17,23,34,41,45,43,11681894100,2920473525,4,1946982358,57264187,34,1946983712,1408816,1382,3893968881,59653,65277,5491125000,5000,1098225
133,4,7,15,18,23,26,13,11601940800,1450242600,8,1933656840,37914840,51,1933656932,1319002,1466,3867372594,50709,76266,6108395000,5000,1221679
134,3,12,20,23,31,35,43,11745775500,2349155100,5,1957629250,39152585,50,1957629898,1366106,1433,3915285150,56175,69698,5646495000,5000,1129299
135,6,14,22,28,35,39,16,12021054605,1717293515,7,2003509116,71553897,28,2003509616,1406959,1424,4007080329,60529,66201,5496245000,5000,1099249
136,2,16,30,36,41,42,11,11986164900,1997694150,6,1997694166,76834391,26,1997694401,1561919,1279,3995395527,59639,66993,5595375000,5000,1119075
137,7,9,20,25,36,39,15,11433631203,1270403467,9,1905605200,47640130,40,1905605424,1207608,1578,3811218425,52255,72935,5933275000,5000,1186655
138,10,11,27,28,37,39,19,11135760000,2227152000,5,1855960000,57998750,32,1855961082,1483582,1251,3711946290,60623,61230,5284625000,5000,1056925
139,9,11,15,20,28,43,13,11551471505,1650210215,7,1925245252,68758759,28,1925245584,1706778,1128,3850501143,67233,57271,4933090000,5000,986618
140,3,13,17,18,19,28,8,10547314200,2109462840,5,1757885714,51702521,34,1757886380,1341898,1310,3515805524,54617,64372,5412875000,5000,1082575
141,8,12,29,31,42,43,2,11403314400,1900552400,6,1900552410,65536290,29,1900553512,1661323,1144,3801121524,65308,58203,5002955000,5000,1000591
142,12,16,30,34,40,44,19,11200921204,1018265564,11,1866820200,66672150,28,1866821034,1407859,1326,3733672590,57795,64602,5338220000,5000,1067644
143,26,27,28,42,43,45,8,11863754100,3954584700,3,1977292380,56494068,35,1977293334,1672837,1182,3954595730,69221,57130,4934755000,5000,986951
144,4,15,17,26,36,37,43,11219523304,1402440413,8,1869920568,49208436,38,1869921942,1248279,1498,3739909296,50416,74181,5902055000,5000,1180411
145,2,3,13,20,27,44,9,11393514600,3797838200,3,1898919128,49971556,38,1898919176,1560328,1217,3797867280,60169,63120,5467725000,5000,1093545
146,2,19,27,35,41,42,25,12086830500,6043415250,2,2014471780,59249170,34,2014472268,1456596,1383,4028984036,64439,62524,5194060000,5000,1038812
147,4,6,13,21,40,42,36,11900281505,1700040215,7,1983380280,56668008,35,1983380580,1632412,1215,3966781896,63558,62412,5339000000,5000,1067800
148,21,25,33,34,35,36,17,11617982100,2323596420,5,1936330375,55323725,35,1936331475,1634035,1185,3872694392,61124,63358,5398320000,5000,1079664
149,2,11,21,34,41,42,27,11473365001,1639052143,7,1912227501,44470407,43,1912227777,1632987,1171,3824490150,63267,60450,5081200000,5000,1016240
150,2,18,25,28,37,39,16,11326583400,2831645850,4,1887763916,41038346,46,1887764351,1475969,1279,3775536400,57907,65200,5504250000,5000,1100850
151,1,2,10,13,18,19,15,10866536100,2716634025,4,1811089350,40246430,45,1811089371,1214681,1491,3622232250,53073,68250,5567640000,5000,1113528
152,1,5,13,26,29,34,43,11390659200,2278131840,5,1898443200,63281440,30,1898443360,1603415,1184,3796922052,62986,60282,5105735000,5000,1021147
153,3,8,11,12,13,36,33,10922104500,2730526125,4,1820350792,35006746,52,1820352048,1258888,1446,3640716750,50875,71562,5685360000,5000,1137072
154,6,19,21,35,40,45,20,11346514800,2836628700,4,1891085824,59096432,32,1891086665,1590485,1189,3782195307,62847,60181,5100335000,5000,1020067
155,16,19,20,32,33,41,4,10737051606,1193005734,9,1789508626,48365098,37,1789509150,1390450,1287,3579054794,56917,62882,5175015000,5000,1035003
156,5,18,28,30,42,45,2,11208799200,1401099900,8,1868133210,62271107,30,1868133840,1518808,1230,3736322234,62789,59506,4990960000,5000,998192
157,19,26,30,33,35,39,37,10969807500,5484903750,2,1828301272,65296474,28,1828301475,1582945,1155,3656646450,59313,61650,5143670000,5000,1028734
158,4,9,13,18,21,34,7,10695443400,1069544340,10,1782573930,39612754,45,1782574956,1175841,1516,3565207090,52499,67910,5358705000,5000,1071741
159,1,18,30,41,42,43,32,10532443800,1755407300,6,1755407304,73141971,24,1755407556,1639036,1071,3510822963,63911,54933,4601890000,5000,920378
160,3,7,8,34,39,41,1,10981610700,5490805350,2,1830268480,57195890,32,1830268856,1696264,1079,3660575760,62382,58680,5113935000,5000,1022787
161,22,34,36,40,42,45,44,13978133904,1996876272,7,2096355681,33275487,63,2096356619,1517999,1381,4192747599,63303,66233,5584670000,5000,1116934
162,1,5,21,25,38,41,24,11541328800,2308265760,5,1923554820,58289540,33,1923555548,1641259,1172,3847162685,62857,61205,5289495000,5000,1057899
163,7,11,26,28,29,44,16,11408085605,1629726515,7,1901347635,40454205,47,1901347640,1367876,1390,3802755380,57095,66604,5496000000,5000,1099200
164,6,9,10,11,39,41,27,12164813700,4054937900,3,2027468976,51986384,39,2027469156,1246906,1626,4055009310,54186,74835,6251370000,5000,1250274
165,5,13,18,19,22,42,31,13534853400,6767426700,2,2255808920,56395223,40,2255809905,1469583,1535,4511656800,57240,78820,6485970000,5000,1297194
166,9,12,27,36,39,45,14,12224299802,1111299982,11,2037383320,72763690,28,2037384129,1351947,1507,4074833094,57594,70751,5704900000,5000,1140980
167,24,27,28,30,36,39,4,12456114600,2491222920,5,2076019128,57667198,36,2076019751,1581127,1313,4152074528,64666,64208,5612005000,5000,1122401
168,3,10,31,40,42,43,30,11749734600,2349946920,5,1958289102,36264613,54,1958289168,1268322,1544,3916600776,52569,74504,6165215000,5000,1233043
169,16,27,35,37,43,45,19,12414441900,2482888380,5,2069073672,66744312,31,2069073859,1766929,1171,4138153770,65994,62705,5347355000,5000,1069471
170,2,11,13,15,31,42,10,11538649500,1923108250,6,1923108264,71226232,27,1923109496,1469144,1309,3846248430,57381,67030,5628040000,5000,1125608
171,4,16,25,29,34,35,1,11768038200,1961339700,6,1961339714,103228406,19,1961340392,1420232,1381,3922708673,54893,71461,5565340000,5000,1113068
172,4,19,21,24,26,41,35,11892694803,1081154073,11,1982115815,104321885,19,1982116708,1553383,1276,3964277184,60564,65456,5557975000,5000,1111595
173,3,9,24,30,33,34,18,11901894304,1487736788,8,1983649059,31486493,63,1983649952,1369924,1448,3967358313,50637,78349,6306770000,5000,1261354
174,13,14,18,22,35,39,16,12397721406,1771103058,7,2066286924,79472574,26,2066287150,1559462,1325,4132636420,63580,64999,5507415000,5000,1101483
175,19,26,28,31,33,36,17,11855663100,2371132620,5,1975943856,41165497,48,1975943934,1466922,1347,3951897705,58473,67585,5688135000,5000,1137627
176,4,17,30,32,33,34,15,11573315400,2314663080,5,1928885920,48222148,40,1928887140,1256604,1535,3857840145,50305,76689,5955405000,5000,1191081
177,1,10,13,16,37,43,6,11852998500,1693285500,7,1975499760,65849992,30,1975499820,1567857,1260,3951019092,61316,64437,5485165000,5000,1097033
178,1,5,11,12,18,23,9,11273105400,2254621080,5,1878850908,42701157,44,1878852348,1199778,1566,3757758768,50364,74612,6002870000,5000,1200574
179,5,9,17,25,39,43,32,10810939200,1081093920,10,1801823245,33996665,53,1801824640,1170016,1540,3603713384,51514,69956,5627615000,5000,1125523
180,2,15,20,21,29,34,22,11526743100,5763371550,2,1921123855,54889253,35,1921124652,1496203,1284,3842289484,61109,62876,5236500000,5000,1047300
181,14,21,23,32,40,45,44,11650579800,1941763300,6,1941763320,80906805,24,1941764157,1574829,1233,3883557302,64046,60637,5144590000,5000,1028918
182,13,15,27,29,34,40,35,11164318200,3721439400,3,1860719740,42289085,44,1860720860,1515245,1228,3721441284,63071,59004,5004100000,5000,1000820
183,2,18,24,34,40,42,5,10663329000,1777221500,6,1777221500,71088860,25,1777222302,1373433,1294,3554501328,52944,67137,5197015000,5000,1039403
184,1,2,6,16,20,33,41,10486518300,1747753050,6,1747753061,56379131,31,1747753403,1313113,1331,3495511952,55183,63344,5274145000,5000,1054829
185,1,2,4,8,19,38,14,10567457400,3522485800,3,1761242908,51801262,34,1761243036,1434237,1228,3522539836,53422,65938,5279115000,5000,1055823
186,4,10,14,19,21,45,9,10690943400,1187882600,9,1781823938,38735303,46,1781824870,1524230,1169,3563682534,60849,58566,4923975000,5000,984795
187,1,2,8,18,29,38,42,10813137300,1544733900,7,1802189558,94852082,19,1802189900,1438300,1253,3604435100,60295,59780,4906085000,5000,981217
188,19,24,27,30,31,34,36,10504215600,3501405200,3,1750702602,53051594,33,1750702800,1326290,1320,3501449676,57188,61227,5081095000,5000,1016219
